date,totalTested,tested,totalInfected,infected,totalRecovered,recovered,totalDeceased,deceased
2020-03-26,31127,4429,2022,259,10,2,9,3
2020-03-27,36374,5247,2395,373,11,1,9,0
2020-03-28,40700,4326,2657,262,11,0,11,2
2020-03-29,40700,0,2805,148,11,0,16,5
2020-03-30,43498,2798,2976,171,25,14,23,7
2020-03-31,48811,5313,3257,281,45,20,31,8
2020-04-01,55017,6206,3508,251,61,16,39,8
2020-04-02,60990,5973,3805,297,67,6,44,5
2020-04-03,67281,6291,4091,286,72,5,53,9
2020-04-04,74170,6889,4362,271,78,6,59,6
2020-04-05,80304,6134,4543,181,96,18,67,8
2020-04-06,85014,4710,4735,192,121,25,78,11
2020-04-07,91247,6233,4944,209,172,51,88,10
2020-04-08,98681,7434,5221,277,233,61,99,11
2020-04-09,106845,8164,5467,246,301,68,112,13
2020-04-10,114854,8009,5674,207,346,45,119,7
2020-04-11,120285,5431,5831,157,411,65,129,10
2020-04-12,125126,4841,5952,121,464,53,138,9
2020-04-13,128359,3233,6022,70,519,55,143,5
2020-04-14,131542,3183,6111,89,642,123,161,18
2020-04-15,137672,6130,6216,105,819,177,166,5
2020-04-16,146004,8332,6359,143,972,153,169,3
2020-04-17,154307,8303,6499,140,1174,202,173,4
2020-04-18,162533,8226,6606,107,1227,53,181,8
2020-04-19,168096,5563,6701,95,1298,71,186,5
2020-04-20,172123,4027,6787,86,1311,13,188,2
